"book","chapter","verse","edition","text" 
"Gal","5","10","3.02","[ἐγώ@rpn-s πείθω@vixa1s εἰς@pa σύ@rpa-p ἐν@pd κύριος@ndmsc ὅτι@cs οὐδείς@rians ἄλλος@aiansn φρονέω@vifa2p ὁ@dnms δέ@cc ταράσσω@vppanms σύ@rpa-p βαστάζω@vifa3s ὁ@dans κρίμα@nansc ὅστις@rrnms ἐάν@x εἰμί@vspa3s]" 
"Gal","5","12","3.02","[ὄφελον@x καί@b ἀποκόπτω@vifm3p ὁ@dnmp ἀναστατόω@vppanmp σύ@rpa-p]" 
"Gal","5","14","3.02","ὁ@dnms γάρ@cc πᾶς@ainmsn νόμος@nnmsc ἐν@pd σύ@rpd-p πληρόω@vixp3s ἀγαπάω@vifa2s ὁ@dams πλησίον@b σύ@rpg-s ὡς@cs σεαυτοῦ@rxams" 
"Gal","5","19","3.02","[φανερός@annnpn δέ@cc εἰμί@vipa3s ὁ@dnnp ἔργον@nnnpc ὁ@dgfs σάρξ@ngfsc ὅστις@rrnnp εἰμί@vipa3s πορνεία@nnfsc ἀκαθαρσία@nnfsc ἀσέλγεια@nnfsc]" 
"Gal","5","20","3.02","[εἰδωλολατρία@nnfsc φαρμακεία@nnfsc ἔχθρα@nnfpc ἔρις@nnfsc ζῆλος@nnmsc θυμός@nnmpc ἐριθεία@nnfpc διχοστασία@nnfpc αἵρεσις@nnfpc]" 
"Gal","5","21","3.02","[μέθη@nnfpc κῶμος@nnmpc ὅς@rranp προλέγω@vipa1s σύ@rpd-p] καθώς@cs καί@b προλέγω@viaa1s [ὅτι@cs ὁ@dnmp ὁ@danp τοιοῦτος@adanpn πράσσω@vppanmp βασιλεία@nafsc θεός@ngmsc οὐ@b κληρονομέω@vifa3p]" 
"Gal","5","24","3.02","[ὁ@dnmp δέ@cc ὁ@dgms Χριστός@ngmsp ὁ@dafs σάρξ@nafsc σταυρόω@viaa3p σύν@pd ὁ@ddnp πάθημα@ndnpc καί@cc ὁ@ddfp ἐπιθυμία@ndfpc]" 
"Gal","6","02","3.02","[ἀλλήλων@regmp ὁ@danp βάρος@nanpc βαστάζω@vdpa2p καί@cc οὕτω@b] ἀναπληρόω@vifa2p [ὁ@dams νόμος@namsc ὁ@dgms Χριστός@ngmsp]" 
"Gal","6","06","3.02","[κοινωνέω@vdpa3s δέ@cc ὁ@dnms κατηχέω@vpppnms ὁ@dams λόγος@namsc ὁ@ddms κατηχέω@vppadms ἐν@pd πᾶς@aidnpn ἀγαθός@andnpn]" 
"Gal","6","07","3.02","πλανάω@vipp2p [θεός@nnmsc οὐ@b μυκτηρίζω@vipp3s ὅς@rrans γάρ@cc ἐάν@x σπείρω@vsaa3s ἄνθρωπος@nnmsc οὗτος@rdans καί@b θερίζω@vifa3s]" 
"Gal","6","08","3.02","[ὅτι@cs ὁ@dnms σπείρω@vppanms εἰς@pa ὁ@dafs σάρξ@nafsc ἑαυτοῦ@rxgms ἐκ@pg ὁ@dgfs σάρξ@ngfsc θερίζω@vifa3s φθορά@nafsc ὁ@dnms δέ@cc σπείρω@vppanms εἰς@pa ὁ@dans πνεῦμα@nansc ἐκ@pg ὁ@dgns πνεῦμα@ngnsc θερίζω@vifa3s ζωή@nafsc αἰώνιος@anafsn]" 
